date,GDP,GDP_growth,Population,Inflation,Unemployment,GDP_rolling3
2010-01-01,196709621849.586,0.05002641645585215,199239047,12.9388705634889,0.653,195417051429.96866
2011-01-01,230586581059.665,0.17221810957464512,203746065,11.9160927116277,0.796,204877995588.57236
2012-01-01,250106966104.704,0.08465533837802997,207667125,9.68235186055679,3.667,225801056337.985
2013-01-01,258657231672.412,0.03418643511164143,211073978,7.69215611899569,2.954,246450259612.26035
2014-01-01,271390474857.632,0.0492282512377098,214264647,7.18938402847027,1.827,260051557544.91602
2015-01-01,299963590534.773,0.10528415078727482,217290883,2.52932817254228,3.566,276670432354.939
2016-01-01,313630000130.435,0.045560228064004615,220138869,3.7651191635658,2.285,294994688507.61334
2017-01-01,339205534861.1,0.08154683773882732,223273967,4.08537368032612,3.215,317599708508.7693
2018-01-01,356128166704.921,0.04988902038627008,226928892,5.07805725868913,4.083,336321233898.81866
2019-01-01,320909472770.669,-0.0988933120907377,230800899,10.5783618004555,4.83,338747724778.89667
2020-01-01,300425609817.981,-0.06383065845901759,235001746,9.73999313898157,6.127,325821083097.857
2021-01-01,348516647445.148,0.16007635852450774,239477801,9.49621056124947,6.338,323283910011.266
2022-01-01,374890295666.694,0.07567399840117206,243700667,19.8738599646655,5.485,341277517643.27435
2023-01-01,337885531778.052,-0.09870824696284486,247504495,30.7681280657005,5.408,353764158296.63135
2024-01-01,373071855731.539,0.10413681748468573,251269164,12.6325318530452,5.472,361949227725.4283
